Zipcode,City,State,Lat,Long,Population
43055,NEWARK,OH,40.06,-82.42,59605
43130,LANCASTER,OH,39.72,-82.59,59570
78130,NEW BRAUNFELS,TX,29.7,-98.11,59546
2148,MALDEN,MA,42.43,-71.05,59503
92707,SANTA ANA,CA,33.71,-117.87,59492
15601,GREENSBURG,PA,40.31,-79.54,59483
93906,SALINAS,CA,36.72,-121.63,59461
30052,LOGANVILLE,GA,33.83,-83.89,59451
95608,CARMICHAEL,CA,38.62,-121.32,59418
78520,BROWNSVILLE,TX,25.92,-97.48,59408
75040,GARLAND,TX,32.91,-96.62,59406
93030,OXNARD,CA,34.19,-119.17,59372
23452,VIRGINIA BEACH,VA,36.73,-76.04,59321
10312,STATEN ISLAND,NY,40.58,-74.14,59304
10024,NEW YORK,NY,40.71,-73.99,59283
37075,HENDERSONVILLE,TN,36.29,-86.6,59256
19720,NEW CASTLE,DE,39.66,-75.57,59250
90006,LOS ANGELES,CA,34.04,-118.29,59185
92630,LAKE FOREST,CA,33.64,-117.67,59182
11434,JAMAICA,NY,40.68,-73.78,59129
32210,JACKSONVILLE,FL,30.33,-81.65,59080
79924,EL PASO,TX,31.84,-106.43,59058
10977,SPRING VALLEY,NY,41.11,-74.04,59048
33025,HOLLYWOOD,FL,26.02,-80.16,59039
97701,BEND,OR,44.07,-121.25,58993
90813,LONG BEACH,CA,33.78,-118.18,58911
78228,SAN ANTONIO,TX,29.45,-98.5,58811
89115,LAS VEGAS,NV,36.23,-115.05,58794
92880,CORONA,CA,33.9,-117.61,58763
75150,MESQUITE,TX,32.76,-96.59,58730
92115,SAN DIEGO,CA,32.75,-117.07,58560
20011,WASHINGTON,DC,38.89,-77.03,58536
10473,BRONX,NY,40.84,-73.87,58519
95111,SAN JOSE,CA,37.28,-121.83,58466
98052,REDMOND,WA,47.68,-122.12,58442
43123,GROVE CITY,OH,39.87,-83.07,58424
93309,BAKERSFIELD,CA,35.34,-119.07,58409
91977,SPRING VALLEY,CA,32.71,-116.99,58368
95355,MODESTO,CA,37.67,-120.95,58311
92404,SAN BERNARDINO,CA,34.17,-117.24,58271
97229,PORTLAND,OR,45.55,-122.81,58217
60411,CHICAGO HEIGHTS,IL,41.5,-87.63,58136
75043,GARLAND,TX,32.91,-96.62,58094
87120,ALBUQUERQUE,NM,35.11,-106.62,58023
92507,RIVERSIDE,CA,33.96,-117.31,58002
90034,LOS ANGELES,CA,34.02,-118.39,57964
2155,MEDFORD,MA,42.42,-71.1,57964
32828,ORLANDO,FL,28.5,-81.37,57881
95828,SACRAMENTO,CA,38.48,-121.4,57862
45601,CHILLICOTHE,OH,39.33,-82.98,57842
92020,EL CAJON,CA,32.79,-116.96,57767
30906,AUGUSTA,GA,33.45,-81.99,57748
92780,TUSTIN,CA,33.74,-117.82,57741
87105,ALBUQUERQUE,NM,35.11,-106.62,57680
33027,HOLLYWOOD,FL,26.02,-80.16,57663
22191,WOODBRIDGE,VA,38.63,-77.26,57598
74012,BROKEN ARROW,OK,36.03,-95.78,57526
85705,TUCSON,AZ,32.26,-111,57521
73099,YUKON,OK,35.51,-97.76,57492
32244,JACKSONVILLE,FL,30.33,-81.65,57369
20874,GERMANTOWN,MD,39.17,-77.26,57367
95020,GILROY,CA,37.06,-121.55,57349
85281,TEMPE,AZ,33.43,-111.91,57348
10032,NEW YORK,NY,40.71,-73.99,57331
10460,BRONX,NY,40.84,-73.87,57311
90745,CARSON,CA,33.82,-118.26,57251
92647,HUNTINGTON BEACH,CA,33.72,-118,57245
90001,LOS ANGELES,CA,33.97,-118.24,57110
46227,INDIANAPOLIS,IN,39.77,-86.14,57086
78574,MISSION,TX,26.31,-98.35,57071
91761,ONTARIO,CA,34.02,-117.58,56913
60453,OAK LAWN,IL,41.71,-87.75,56855
11225,BROOKLYN,NY,40.64,-73.94,56829
93312,BAKERSFIELD,CA,35.38,-119.22,56741
92407,SAN BERNARDINO,CA,34.22,-117.37,56689
95122,SAN JOSE,CA,37.33,-121.83,56545
77072,HOUSTON,TX,29.76,-95.38,56526
78245,SAN ANTONIO,TX,29.45,-98.5,56511
92324,COLTON,CA,34.01,-117.27,56505
44077,PAINESVILLE,OH,41.72,-81.24,56491
87111,ALBUQUERQUE,NM,35.11,-106.62,56490
27406,GREENSBORO,NC,36.07,-79.82,56458
10031,NEW YORK,NY,40.71,-73.99,56438
11550,HEMPSTEAD,NY,40.7,-73.61,56435
84404,OGDEN,UT,41.24,-112.13,56363
32765,OVIEDO,FL,28.65,-81.18,56349
70072,MARRERO,LA,29.88,-90.11,56344
91605,NORTH HOLLYWOOD,CA,34.2,-118.39,56343
89123,LAS VEGAS,NV,36,-115.14,56300
77459,MISSOURI CITY,TX,29.57,-95.53,56274
2360,PLYMOUTH,MA,41.95,-70.66,56271
63021,BALLWIN,MO,38.59,-90.55,56261
7728,FREEHOLD,NJ,40.25,-74.27,56257
85345,PEORIA,AZ,33.57,-112.25,56208
77840,COLLEGE STATION,TX,30.6,-96.31,56171
33165,MIAMI,FL,25.77,-80.2,56149
85008,PHOENIX,AZ,33.46,-111.98,56145
92113,SAN DIEGO,CA,32.69,-117.11,56066
75149,MESQUITE,TX,32.76,-96.59,56065
33313,FORT LAUDERDALE,FL,26.14,-80.13,56039
10003,NEW YORK,NY,40.71,-73.99,56024
94122,SAN FRANCISCO,CA,37.76,-122.48,56023
92708,FOUNTAIN VALLEY,CA,33.71,-117.94,56004
43081,WESTERVILLE,OH,40.12,-82.91,55991
22003,ANNANDALE,VA,38.83,-77.21,55990
94109,SAN FRANCISCO,CA,37.79,-122.42,55984
8854,PISCATAWAY,NJ,40.51,-74.45,55961
95112,SAN JOSE,CA,37.34,-121.88,55927
10306,STATEN ISLAND,NY,40.58,-74.14,55909
78586,SAN BENITO,TX,26.13,-97.63,55878
91762,ONTARIO,CA,34.04,-117.67,55857
66061,OLATHE,KS,38.88,-94.81,55805
40475,RICHMOND,KY,37.74,-84.29,55803
21222,DUNDALK,MD,39.26,-76.49,55786
27858,GREENVILLE,NC,35.59,-77.37,55781
90063,LOS ANGELES,CA,34.04,-118.18,55758
76010,ARLINGTON,TX,32.69,-97.12,55706
93215,DELANO,CA,35.78,-119.23,55659
42101,BOWLING GREEN,KY,36.97,-86.44,55648
43701,ZANESVILLE,OH,39.95,-82.01,55643
78745,AUSTIN,TX,30.26,-97.74,55614
6516,WEST HAVEN,CT,41.27,-72.96,55564
78207,SAN ANTONIO,TX,29.45,-98.5,55514
19020,BENSALEM,PA,40.1,-74.93,55493
28027,CONCORD,NC,35.4,-80.59,55435
93458,SANTA MARIA,CA,34.95,-120.5,55431
89117,LAS VEGAS,NV,36.14,-115.27,55416
75243,DALLAS,TX,32.79,-96.76,55406
31907,COLUMBUS,GA,32.51,-84.87,55332
90066,LOS ANGELES,CA,34,-118.43,55277
92646,HUNTINGTON BEACH,CA,33.66,-117.97,55224
8901,NEW BRUNSWICK,NJ,40.48,-74.44,55223
60056,MOUNT PROSPECT,IL,42.06,-87.93,55219
85706,TUCSON,AZ,32.07,-110.88,55209
19446,LANSDALE,PA,40.24,-75.28,55138
79907,EL PASO,TX,31.84,-106.43,55132
80134,PARKER,CO,39.5,-104.76,55075
22030,FAIRFAX,VA,38.85,-77.29,55066
2169,QUINCY,MA,42.26,-71,55055
33647,TAMPA,FL,27.95,-82.48,55034
75227,DALLAS,TX,32.79,-96.76,55029
60638,CHICAGO,IL,41.83,-87.68,55026
19149,PHILADELPHIA,PA,39.95,-75.16,55006
28655,MORGANTON,NC,35.74,-81.69,54996
45840,FINDLAY,OH,41.04,-83.64,54979
22407,FREDERICKSBURG,VA,38.29,-77.48,54962
65807,SPRINGFIELD,MO,37.19,-93.28,54952
85041,PHOENIX,AZ,33.38,-112.11,54947
92346,HIGHLAND,CA,34.13,-117.15,54923
76137,FORT WORTH,TX,32.75,-97.33,54911
78250,SAN ANTONIO,TX,29.45,-98.5,54903
11354,FLUSHING,NY,40.77,-73.84,54878
92392,VICTORVILLE,CA,34.49,-117.36,54858
43302,MARION,OH,40.58,-83.12,54790
7470,WAYNE,NJ,40.94,-74.24,54717
78045,LAREDO,TX,27.53,-99.48,54713
30040,CUMMING,GA,34.2,-84.13,54653
96817,HONOLULU,HI,21.3,-157.85,54628
20904,SILVER SPRING,MD,39.01,-77.02,54612
77373,SPRING,TX,30.06,-95.38,54609
94513,BRENTWOOD,CA,37.87,-121.68,54605
28314,FAYETTEVILLE,NC,35.05,-78.87,54520
38401,COLUMBIA,TN,35.62,-87.04,54469
12550,NEWBURGH,NY,41.5,-74.02,54447
85710,TUCSON,AZ,32.22,-110.82,54439
8527,JACKSON,NJ,40.1,-74.35,54392
30101,ACWORTH,GA,34.05,-84.67,54373
93063,SIMI VALLEY,CA,34.3,-118.72,54366
20019,WASHINGTON,DC,38.89,-77.03,54358
95051,SANTA CLARA,CA,37.35,-121.98,54327
11216,BROOKLYN,NY,40.64,-73.94,54316
94087,SUNNYVALE,CA,37.35,-122.03,54293
96744,KANEOHE,HI,21.41,-157.79,54247
10016,NEW YORK,NY,40.71,-73.99,54183
19140,PHILADELPHIA,PA,39.95,-75.16,54133
96789,MILILANI,HI,21.45,-158.01,54129
90723,PARAMOUNT,CA,33.89,-118.16,54099
92057,OCEANSIDE,CA,33.27,-117.28,54096
30331,ATLANTA,GA,33.71,-84.53,54094
60630,CHICAGO,IL,41.83,-87.68,54093
20147,ASHBURN,VA,39.04,-77.48,54086
91764,ONTARIO,CA,34.07,-117.62,54086
92840,GARDEN GROVE,CA,33.78,-117.93,54083
43026,HILLIARD,OH,40.03,-83.14,54017
93436,LOMPOC,CA,34.6,-120.39,54017
91745,HACIENDA HEIGHTS,CA,34,-117.97,54013
7111,IRVINGTON,NJ,40.72,-74.23,53942
89030,NORTH LAS VEGAS,NV,36.21,-115.12,53928
10033,NEW YORK,NY,40.71,-73.99,53926
92701,SANTA ANA,CA,33.75,-117.85,53908
92563,MURRIETA,CA,33.57,-117.14,53892
92027,ESCONDIDO,CA,33.13,-116.98,53881
90744,WILMINGTON,CA,33.77,-118.26,53815
11758,MASSAPEQUA,NY,40.66,-73.47,53804
29732,ROCK HILL,SC,34.93,-81.02,53781
21117,OWINGS MILLS,MD,39.41,-76.79,53778
92504,RIVERSIDE,CA,33.9,-117.4,53778
72401,JONESBORO,AR,35.82,-90.68,53767
33463,LAKE WORTH,FL,26.61,-80.05,53766
33414,WELLINGTON,FL,26.74,-80.12,53718
33161,MIAMI,FL,25.77,-80.2,53710
90221,COMPTON,CA,33.87,-118.21,53704
92570,PERRIS,CA,33.78,-117.33,53697
11435,JAMAICA,NY,40.68,-73.78,53687
21061,GLEN BURNIE,MD,39.16,-76.6,53684
73160,OKLAHOMA CITY,OK,35.46,-97.51,53666
28215,CHARLOTTE,NC,35.19,-80.83,53629
77015,HOUSTON,TX,29.76,-95.38,53621
12180,TROY,NY,42.73,-73.67,53606
30721,DALTON,GA,34.76,-84.97,53601
6511,NEW HAVEN,CT,41.31,-72.92,53600
29445,GOOSE CREEK,SC,32.98,-79.99,53588
77346,HUMBLE,TX,29.99,-95.26,53578
14221,BUFFALO,NY,42.88,-78.85,53555
79938,EL PASO,TX,31.84,-106.43,53520
97301,SALEM,OR,44.9,-122.92,53518
32218,JACKSONVILLE,FL,30.33,-81.65,53473
75061,IRVING,TX,32.85,-96.96,53442
92071,SANTEE,CA,32.85,-116.99,53422
22192,WOODBRIDGE,VA,38.63,-77.26,53394
30093,NORCROSS,GA,33.94,-84.2,53351
24060,BLACKSBURG,VA,37.23,-80.42,53311
65203,COLUMBIA,MO,38.95,-92.32,53307
45140,LOVELAND,OH,39.26,-84.27,53267
93117,GOLETA,CA,34.5,-120.12,53217
33175,MIAMI,FL,25.77,-80.2,53206
33177,MIAMI,FL,25.77,-80.2,53191
78550,HARLINGEN,TX,26.19,-97.68,53152
